appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,languages,genre,ccu,tags
40,Deathmatch Classic,Valve,Valve,,2098,467,0,"5,000,000 .. 10,000,000",17473,19212,13,19212,499,499,0,"English, French, German, Italian, Spanish - Spain, Korean, Russian, Simplified Chinese, Traditional Chinese",Action,3,"{'Action': 632, 'FPS': 145, 'Classic': 111, 'Multiplayer': 100, 'Shooter': 97, 'First-Person': 75, 'Arena Shooter': 51, 'Old School': 39, 'Sci-fi': 34, 'Competitive': 27, 'Fast-Paced': 20, 'Gore': 18, 'Retro': 17, 'Co-op': 14, 'Difficult': 13, ""1990's"": 10}"
1200,Red Orchestra: Ostfront 41-45,Tripwire Interactive,Tripwire Interactive,,1989,302,0,"500,000 .. 1,000,000",391,0,60,0,249,499,50,"English, French, Russian",Action,33,"{'World War II': 156, 'Action': 126, 'FPS': 122, 'Realistic': 96, 'Multiplayer': 88, 'Singleplayer': 81, 'Shooter': 72, 'War': 65, 'Tactical': 63, 'Military': 61, 'Simulation': 45, 'Historical': 43, 'Team-Based': 35, 'Classic': 29, 'Strategy': 23, 'Atmospheric': 21, 'First-Person': 11, 'Tanks': 9, 'Survival': 8}"
1510,Uplink,Introversion Software,Introversion Software,,2014,193,0,"500,000 .. 1,000,000",298,0,75,0,999,999,0,English,"Indie, Strategy",9,"{'Hacking': 226, 'Indie': 160, 'Strategy': 146, 'Singleplayer': 119, 'Cyberpunk': 109, 'Simulation': 65, 'Great Soundtrack': 61, 'Classic': 56, 'Sci-fi': 49, 'Real-Time with Pause': 41, '2D': 40, 'Experimental': 32, 'Atmospheric': 30, 'Story Rich': 27, 'Addictive': 21, 'Perma Death': 9, 'Programming': 9, 'Puzzle': 9, 'Rogue-like': 7, 'Text-Based': 6}"
1530,Multiwinia,Introversion Software,Introversion Software,,444,99,0,"500,000 .. 1,000,000",45,0,68,0,999,999,0,"English, French, Italian, German, Spanish - Spain",Indie,2,"{'Indie': 57, 'RTS': 35, 'Strategy': 33, 'Multiplayer': 26, 'Singleplayer': 12, 'Retro': 11}"
1900,Earth 2160,Reality Pump Studios,"Topware Interactive, ACE",,878,374,0,"500,000 .. 1,000,000",1015,0,423,0,149,499,70,"English, French, German, Spanish - Spain, Italian, Czech, Polish, Russian",Strategy,11,"{'Base-Building': 960, 'Space': 954, 'RTS': 950, 'Real-Time': 949, 'Action RPG': 940, 'Strategy': 938, 'Post-apocalyptic': 124, 'Historical': 120, 'Action': 118, 'Simulation': 117, 'Pixel Graphics': 109, 'Sci-fi': 109, 'Atmospheric': 97, 'Aliens': 93, 'Futuristic': 91, 'Resource Management': 79, 'Co-op': 73, 'Multiplayer': 69, 'Singleplayer': 57, 'Tactical RPG': 43}"
2210,Quake 4,"RavenSoft, id Software",Bethesda Softworks,,2278,327,0,"200,000 .. 500,000",324,0,245,0,1499,1499,0,English,Action,19,"{'FPS': 148, 'Action': 121, 'Shooter': 88, 'Sci-fi': 84, 'Horror': 70, 'Singleplayer': 65, 'Classic': 63, 'Multiplayer': 63, 'Gore': 54, 'First-Person': 52, 'Fast-Paced': 47, 'Dark': 38, 'Atmospheric': 37, 'Arena Shooter': 25, 'Adventure': 13, 'Aliens': 11, 'Moddable': 8, 'Retro': 6, 'Futuristic': 5}"
2290,Final DOOM,id Software,id Software,,1047,180,0,"500,000 .. 1,000,000",4,0,7,0,0,0,0,English,Action,5,"{'FPS': 126, 'Action': 106, 'Classic': 106, 'Retro': 72, 'Shooter': 70, 'Singleplayer': 54, ""1990's"": 53, 'First-Person': 52, 'Moddable': 45, 'Sci-fi': 44, 'Difficult': 42, 'Gore': 37, 'Great Soundtrack': 35, 'Multiplayer': 35, 'Old School': 34, 'Demons': 33, 'Zombies': 32, 'Horror': 24, 'Atmospheric': 13, 'Pixel Graphics': 12}"
2330,Quake II Mission Pack: The Reckoning,Xatrix Entertainment,id Software,,150,34,0,"200,000 .. 500,000",1,0,1,0,0,0,0,English,Action,0,"{'Action': 59, 'Shooter': 24, 'FPS': 20, 'First-Person': 19, 'Classic': 10}"
2420,The Ship: Single Player,Outerlight Ltd.,Blazing Griffin Ltd.,,643,268,0,"200,000 .. 500,000",80,0,67,0,999,999,0,"English, French, German, Italian, Spanish - Spain, Polish, Russian, Japanese","Action, Indie, RPG",2,"{'Action': 338, 'Indie': 49, 'RPG': 40, 'Singleplayer': 35, 'FPS': 19, 'First-Person': 11, 'Stealth': 5, 'Multiplayer': 5}"
2500,Shadowgrounds,Frozenbyte,Frozenbyte,,1193,280,0,"200,000 .. 500,000",144,0,141,0,699,699,0,English,Action,2,"{'Top-Down Shooter': 169, 'Sci-fi': 163, 'Aliens': 160, 'Action': 156, 'Shooter': 128, 'Singleplayer': 122, 'Top-Down': 119, 'Horror': 118, 'Isometric': 113, 'Adventure': 108, 'Twin Stick Shooter': 101, 'Gore': 97, 'Indie': 93, ""Shoot 'Em Up"": 90, 'Dark': 88, 'PvE': 83, 'Combat': 75, 'Local Co-Op': 73, 'Co-op': 64, 'Multiplayer': 40}"
2590,Alpha Prime,Black Element,Bohemia Interactive,,756,622,0,"200,000 .. 500,000",112,0,219,0,499,499,0,English,Action,1,"{'Action': 85, 'FPS': 72, 'Sci-fi': 44, 'Shooter': 42, 'First-Person': 28, 'Singleplayer': 25, 'Difficult': 18, 'Space': 17}"
2810,X3: Reunion,Egosoft,Egosoft,,418,174,0,"500,000 .. 1,000,000",1171,0,1195,0,999,999,0,"English, French, German, Spanish - Spain, Italian, Russian, Simplified Chinese, Traditional Chinese, Czech, Polish",Strategy,19,"{'Space': 122, 'Simulation': 92, 'Strategy': 83, 'Space Sim': 70, 'Sci-fi': 69, 'Sandbox': 65, 'Economy': 63, 'Singleplayer': 59, 'Open World': 45, 'Flight': 40, 'Action': 33, 'Trading': 32, 'Exploration': 13, '4X': 6}"
