,owners
23601,0-20000
39518,0-20000
33477,0-20000
52715,0-20000
47560,0-20000
3873,200000-500000
23917,0-20000
40684,0-20000
53892,0-20000
57700,0-20000
13529,20000-50000
13252,20000-50000
22269,0-20000
49382,0-20000
27944,0-20000
26865,0-20000
24184,0-20000
32184,0-20000
27371,0-20000
16764,20000-50000
55181,0-20000
45099,0-20000
47868,0-20000
44738,0-20000
26374,0-20000
42426,0-20000
56821,0-20000
958,>1000000
39162,0-20000
9420,50000-100000
3398,200000-500000
14221,20000-50000
22034,0-20000
48066,0-20000
49852,0-20000
671,>1000000
5585,100000-200000
705,>1000000
40963,20000-50000
50050,0-20000
32690,0-20000
34041,0-20000
30078,0-20000
54646,0-20000
56545,0-20000
14802,20000-50000
35571,0-20000
14731,20000-50000
22364,0-20000
3642,200000-500000
10930,20000-50000
55458,0-20000
12764,20000-50000
19148,0-20000
52145,0-20000
52659,0-20000
8595,50000-100000
58402,0-20000
14630,20000-50000
12012,20000-50000
4131,100000-200000
36653,0-20000
34736,0-20000
57153,0-20000
1832,100000-200000
7206,50000-100000
24626,0-20000
16943,20000-50000
26759,0-20000
29032,0-20000
40629,0-20000
44955,0-20000
17498,20000-50000
914,>1000000
30974,0-20000
41947,0-20000
28648,0-20000
51500,0-20000
4140,100000-200000
15001,20000-50000
14070,20000-50000
54082,0-20000
25548,0-20000
26360,0-20000
41801,0-20000
5138,100000-200000
39870,0-20000
5383,100000-200000
36725,0-20000
16680,20000-50000
35161,0-20000
40705,0-20000
7770,50000-100000
1551,500000-1000000
58395,0-20000
48803,0-20000
28983,0-20000
28729,0-20000
55397,0-20000
27975,0-20000
27099,0-20000
15337,20000-50000
27190,0-20000
33678,0-20000
30098,0-20000
38693,0-20000
47589,0-20000
18856,0-20000
46274,0-20000
49560,0-20000
35938,0-20000
48527,0-20000
21265,0-20000
46891,0-20000
47894,0-20000
43199,0-20000
40875,0-20000
47952,0-20000
58228,0-20000
546,>1000000
50593,0-20000
30898,0-20000
1624,500000-1000000
56543,0-20000
36546,0-20000
28627,0-20000
7040,50000-100000
58317,0-20000
35480,0-20000
2423,200000-500000
57047,0-20000
23937,0-20000
8055,50000-100000
21033,0-20000
16155,20000-50000
29777,0-20000
7624,50000-100000
17087,20000-50000
32145,0-20000
54270,0-20000
57211,0-20000
26412,0-20000
36316,0-20000
4498,200000-500000
12290,20000-50000
39422,0-20000
24824,0-20000
34876,0-20000
14543,20000-50000
55450,0-20000
51369,0-20000
33433,0-20000
42348,0-20000
46355,0-20000
26298,0-20000
18775,0-20000
20863,0-20000
22394,0-20000
35919,0-20000
47109,0-20000
22418,0-20000
46013,0-20000
53850,0-20000
45825,0-20000
46319,0-20000
11785,20000-50000
7957,50000-100000
2856,200000-500000
14602,20000-50000
8102,50000-100000
54063,0-20000
27935,0-20000
12402,20000-50000
54296,0-20000
